id,text,category,source,is_favorite,created_at,scheduled_date,user_id,theme,ordre
006cfda8-60ab-4b18-b7e8-e16afdbcdcd3,﴿وَلَو تَرى إِذ يَتَوَفَّى الَّذينَ كَفَرُوا المَلائِكَةُ يَضرِبونَ وُجوهَهُم وَأَدبارَهُم وَذوقوا عَذابَ الحَريقِ ۝ ذلِكَ بِما قَدَّمَت أَيديكُم وَأَنَّ اللَّهَ لَيسَ بِظَلّامٍ لِلعَبيدِ۝ كَدَأبِ آلِ فِرعَونَ وَالَّذينَ مِن قَبلِهِم كَفَروا بِآياتِ اللَّهِ فَأَخَذَهُمُ اللَّهُ بِذُنوبِهِم إِنَّ اللَّهَ قَوِيٌّ شَديدُ العِقابِ ۝ ذلِكَ بِأَنَّ اللَّهَ لَم يَكُ مُغَيِّرًا نِعمَةً أَنعَمَها عَلى قَومٍ حَتّى يُغَيِّروا ما بِأَنفُسِهِم وَأَنَّ اللَّهَ سَميعٌ عَليمٌ﴾ [الأنفال: ٥٠-٥٣],verses,القرآن الكريم #حكمة,false,2025-03-06,2025-04-04,e2841233-397e-4ade-9351-0c71de3aebd4,,
0091225d-ae62-4e91-aa0a-770421c5292b,﴿يا أَيُّهَا الَّذينَ آمَنوا لا تَتَّبِعوا خُطُواتِ الشَّيطانِ وَمَن يَتَّبِع خُطُواتِ الشَّيطانِ فَإِنَّهُ يَأمُرُ بِالفَحشاءِ وَالمُنكَرِ وَلَولا فَضلُ اللَّهِ عَلَيكُم وَرَحمَتُهُ ما زَكى مِنكُم مِن أَحَدٍ أَبَدًا وَلكِنَّ اللَّهَ يُزَكّي مَن يَشاءُ وَاللَّهُ سَميعٌ عَليمٌ ۝ وَلا يَأتَلِ أُولُو الفَضلِ مِنكُم وَالسَّعَةِ أَن يُؤتوا أُولِي القُربى وَالمَساكين َوَالمُهاجِرينَ في سَبيلِ اللَّهِ وَليَعفوا وَليَصفَحوا أَلا تُحِبّونَ أَن يَغفِرَ اللَّهُ لَكُم وَاللَّهُ غَفورٌ رَحيمٌ﴾ [النور: ٢١-٢٢],verses,القرآن الكريم #إيمان,false,2025-03-06,2025-08-18,e2841233-397e-4ade-9351-0c71de3aebd4,,
01466462-db40-4c03-81e2-bf1e79e1f9f0,عن أبي هريرة رضي الله عنه قال: كان رسول الله صلى الله عليه وسلم يقول: (اللهم أصلح لي ديني الذي هو عصمة أمري، وأصلح لي دنياي التي فيها معاشي، وأصلح لي آخرتي التي فيها معادي، واجعل الحياة زيادة لي في كل خير، واجعل الموت راحة لي من كل شر) رواه مسلم,hadiths,الأحاديث القصار #إيمان,false,2025-03-06,2025-09-19,e2841233-397e-4ade-9351-0c71de3aebd4,,
017d5ed0-fd6b-4515-b42f-4d5e527061d1,"الومضة رقم 527: عناصر تحقق المعرفة
إن المعرفة ثمرة ( تقابل ) بين ذاتٍ مدركة ، و( موضوعٍ ) مُـدَرك ، و( إدراك ) للموضوع على ما هو عليه ..ومن ذلك يعلم أن تمامية المعرفة ، تحتاج إلى اكتمال جميع تلك العناصر ، إذ لا بد من بلوغ الذات إلى مرحلة الإدراك المستلزمة لإزاحة موانع الفهم ، كما لا بد من مواجهة الذات للموضوع المـُدرك ، وهذا فرع إدراكه لأهمية تلك المواجهة ، وإلا فكم من العلوم التي لا تواجهها الذات لعدم إحساسها بلزوم مواجهتها !!..وأخيراً - والأهم من ذلك كله - انعكاس الموضوع بصورته الواقعية لا الخيالية المعاكسة للواقع ، وهنا ( مـزّال ) الأقدام في عالم المعرفة ، وذلك للجهل المركب بأن المـُدرك في الذهن لا يطابق ما هو في الخارج ..وما أكثر هذا الالتباس في باب المعارف ، ومن مصاديق ذلك: المعرفة بالطريق الموصل إلى الحق والذي تاه فيه التائهون ، فضلوا وأضلوا العباد ، وذلك لعدم مطابقة الواقع لصورهم الوهمية ، وكشوفاتهم الباطلة ، ووارداتهم الزائفة ، سواء شعروا بذلك أو لم يشعروا .",thoughts,الومضات #شك (ثقة),false,2025-03-06,2025-08-11,e2841233-397e-4ade-9351-0c71de3aebd4,,
01850135-326e-4418-8051-181c25a0b0b6,"الومضة رقم 260: كالسائر على طرف حائط
إن مَثَل السائر إلى الحق ، كَمَثل من يمشي على طرف حائط عالٍ ، يرى منه جمال الأفق بألوانها الآخذة بمجامع القلوب ، فلا يحتاج إلى ( الحـثّ ) للنظر إلى فوق ، لأنه مستمتع بنفسه ومستغرق بمشاهدة ألوان الجمال ، كما لا يحتاج إلى ( الزجر ) عن النظر إلى تحت ، لأنه بنفسه يخاف السقوط وما يستتبعه من حرمان للجمال وسقوط في الهاوية ، فالمهم في السائر إلى الحق أن يرى تلك الصور الجمالية التي تستتبع بنفسها الزجر من الإعراض عن ذلك الجمال ، والحث على الإقبال عليه.. وعندها ينتظم السير ويتباعد صاحبها من الزلل ، ويزداد الهدف وضوحاً والطريق إشراقاً .",thoughts,الومضات #أمل # حب # شك (ثقة),false,2025-03-06,2025-05-14,e2841233-397e-4ade-9351-0c71de3aebd4,,
01ea7c4c-9819-4a8a-b1ea-75c633b33b74,عن أبي هريرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال: (ويل للأعقاب من النار) رواه البخاري ومسلم,hadiths,الأحاديث القصار #إيمان,false,2025-03-06,2025-07-21,e2841233-397e-4ade-9351-0c71de3aebd4,,
02466789-d707-4ac6-a469-39a99f73fa65,"الومضة رقم 61: الرغبة الجامحة 
إن الميل والرغبة الجامحة في الشيء من دواعي النجاح في أي مجال: دنيويا كان أو أخرويا ..وهذا الميل قد يكون ( طبعيا ) ، كما في موارد الهوى والشهوة ، ولهذا يسترسل أصحابها وراء مقتضياتها من دون معاناة ..وقد يكون ( اكتسابيا ) كما لو حاول العبد مطابقة هواه مع هوى مولاه فيما يحب ويبغض ..وليُعلم أنه مع عدم انقداح مثل هذا الحب والميل في نفس العبد ، فإن سعيه في مجال الطاعة لا يخلو من تكلف و معاناة ..فالأساس الأول للتحليق في عالم العبودية ، هو ( استشعار ) مثل هذا الحب تجاه المولى وما يريد ، إذ أن{ الذين آمنوا أشد حبا لله }. ",thoughts,الومضات #أمل # إيمان # حب,false,2025-03-06,2025-03-25,e2841233-397e-4ade-9351-0c71de3aebd4,,
02be38e2-521c-4715-8157-9d896cb257ba,﴿إِنَّ اللَّهَ اشتَرى مِنَ المُؤمِنينَ أَنفُسَهُم وَأَموالَهُم بِأَنَّ لَهُمُ الجَنَّةَ يُقاتِلونَ في سَبيلِ اللَّهِ فَيَقتُلونَ وَيُقتَلونَ وَعدًا عَلَيهِ حَقًّا فِي التَّوراةِ وَالإِنجيلِ وَالقُرآنِ وَمَن أَوفى بِعَهدِهِ مِنَ اللَّهِ فَاستَبشِروا بِبَيعِكُمُ الَّذي بايَعتُم بِهِ وَذلِكَ هُوَ الفَوزُ العَظيمُ ۝ التّائِبونَ العابِدونَ الحامِدونَ السّائِحونَ الرّاكِعونَ السّاجِدونَ الآمِرونَ بِالمَعروفِ وَالنّاهونَ عَنِ المُنكَرِ وَالحافِظونَ لِحُدودِ اللَّهِ وَبَشِّرِ المُؤمِنينَ﴾ [التوبة: ١١١-١١٢],verses,القرآن الكريم #أمل # إيمان # حب,false,2025-03-06,2025-07-30,e2841233-397e-4ade-9351-0c71de3aebd4,,
02d2be9c-47b8-4e94-9392-ebd6f9d0b612,"الومضة رقم 484: الهواجس والخواطر
إن مَثَل بعض الأخطاء التي قد لا ترقى إلى حد المعصية ، كمَثَل النار التي تستتبع دخاناً كثيفاً يحجب الرؤية ولو لم تحرق الدار ، ومثالها الهواجس الانتقامية أو الخواطر الشهوانية ، إذ أنها قد لا تنتقل إلى الجارحة وبالتالي لا يقع العبد في دائرة المعصية ، إلا أن أثرهما واضح في ( حجب ) الرؤية الصحيحة للحقائق ، والاتزان النفسي في الأمور ، فيعيش العبد بعدهما حالة من الانقلاب والغثيان الداخلي ، يجعله يفتقد التركيز في العبادة أو في ما يحسن التفكير فيه ..ومن الواضح أن ترادف هذه الحالات النفسية يجعلها تتعدى - ولو لم يشأ صاحبها - إلى الجوارح ، فيغتاب مثلاً من دون قصد ، عند اشتداد ( الهواجس ) الانتقامية ، وينظر إلى ما لا يحل له عند فوران ( الخواطر ) الشهوانية .",thoughts,الومضات #إيمان # شك (ثقة),false,2025-03-06,2025-07-27,e2841233-397e-4ade-9351-0c71de3aebd4,,
03d987df-987d-412b-8c21-d88eaa3f0c3f,"الومضة رقم 507: كالمرأة الأجنبية
إن روح المؤمن في التعامل مع العباد ، كالمرأة الأجنبية التي اشتد حياؤها بين الرجال ..فهو ( يُعفّ ) نفسه عن الدخول في الملأ الذي يرى نفسه أجنبياً عنه ، كما تعفّ المرأة نفسها عن الدخول في ملأ غير المحارم من الرجال ..ومن هنا كان إقبال الخواص من أولياء الحق ، ( بشيرَ ) خيرٍ لمن أقبلوا عليه ، وقد أمرنا باتقاء فراسة المؤمن ، لأنه ينظر بنور الله تعالى ..وأما الأرواح المبتذلة ، فإنها ( تأنس ) مع كل من يجتمع معها ولو في بعض الطريق ، وهو أنس لا دوام له ولا قرار ، كعدم ائتلاف قلوب البهائم ، وإن طال اعتلافها على مزود واحد .",thoughts,الومضات #إيمان,false,2025-03-06,2025-08-04,e2841233-397e-4ade-9351-0c71de3aebd4,,
